Name,Affiliation,Chapter,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
Charles Odum,The Associated Press,ATL,Freeman,Soto,Betts,Ozuna,Tatis,Machado,Turner,Yastrzemski,Bauer,Fried
David O'Brien,The Athletic,ATL,Freeman,Betts,Machado,Tatis,Ozuna,Soto,Turner,Yastrzemski,Acuña,Seager
Robert Nightengale,USA Today,AZ,Betts,Freeman,Machado,Tatis,Ozuna,Seager,Soto,Turner,Yastrzemski,Swanson
Zach Buchanan,The Athletic,AZ,Freeman,Betts,Machado,Soto,Ozuna,Tatis,Yastrzemski,Acuña,Belt,Turner
Jesse Rogers,ESPN.com,CHI,Freeman,Betts,Soto,Tatis,Ozuna,Machado,Darvish,Smith,Turner,Bauer
Mark Gonzales,Chicago Tribune,CHI,Freeman,Betts,Machado,Tatis,Soto,Ozuna,Yastrzemski,Turner,Seager,Darvish
John Fay,Cincinnati Enquirer,CIN,Freeman,Betts,Tatis,Yastrzemski,Ozuna,Turner,Machado,Acuña,Goldschmidt,Williams
C. Trent Rosecrans,The Athletic,CIN,Freeman,Tatis,Betts,Machado,Soto,Ozuna,Yastrzemski,Bauer,Darvish,Turner
Tracy Ringolsby,InsideTheSeams.com,COL,Betts,Freeman,Machado,Turner,Ozuna,Seager,Goldschmidt,Story,Acuña,Tatis
Patrick Saunders,The Denver Post,COL,Freeman,Betts,Machado,Tatis,Soto,Ozuna,Bauer,Story,Turner,Yastrzemski
Greg Beacham,Associated Press,LA,Freeman,Betts,Machado,Soto,Tatis,Ozuna,Seager,Yastrzemski,Story,Turner
Bill Plunkett,Southern California Newspaper Group,LA,Freeman,Betts,Ozuna,Machado,Tatis,Soto,Turner,Smith,Seager,Yastrzemski
Joe Frisaro,MLB.com,MIA,Freeman,Tatis,Betts,Soto,Machado,Ozuna,Story,Goldschmidt,Seager,Happ
Jordan McPherson,Miami Herald,MIA,Freeman,Machado,Betts,Tatis,Soto,Ozuna,Bauer,Seager,Turner,Acuña
Adam McCalvy,MLB.com,MIL,Freeman,Betts,Tatis,Machado,Soto,Ozuna,Yastrzemski,Seager,Turner,Smith
Tom Haudricourt,Milwaukee Journal Sentinel,MIL,Freeman,Betts,Machado,Tatis,Soto,Ozuna,Turner,Seager,Yastrzemski,Acuña
Tim Healey,Newsday,NY,Freeman,Soto,Machado,Turner,Ozuna,Betts,Tatis,Bauer,Smith,Darvish
Anthony DiComo,MLB.com,NY,Freeman,Betts,Tatis,Machado,Ozuna,Soto,Yastrzemski,Turner,Bauer,Smith
Meghan Montemurro,The Athletic,PHI,Freeman,Betts,Tatis,Machado,Ozuna,Yastrzemski,Soto,Turner,Acuña,Bauer
Todd Zolecki,MLB.com,PHI,Freeman,Betts,Machado,Tatis,Soto,Ozuna,Yastrzemski,Turner,Seager,Acuña
Jason Mackey,Pittsburgh Post-Gazette,PIT,Freeman,Betts,Tatis,Machado,Soto,Ozuna,Turner,Story,Yastrzemski,Seager
Rob Biertempfel,The Athletic,PIT,Freeman,Betts,Machado,Soto,Tatis,Ozuna,Story,Yastrzemski,Acuña,Turner
Scott A Miller,Bleacher Report,SD,Freeman,Betts,Machado,Soto,Tatis,Ozuna,Seager,Turner,Smith,Yastrzemski
Kevin Acee,San Diego Union-Tribune,SD,Freeman,Machado,Betts,Tatis,Soto,Ozuna,Darvish,Yastrzemski,Myers,Seager
Maria Guardado,MLB.com,SF,Freeman,Betts,Machado,Tatis,Soto,Yastrzemski,Ozuna,Turner,Acuña,Story
Kerry Crowley,Bay Area News Group,SF,Freeman,Betts,Ozuna,Tatis,Machado,Soto,Yastrzemski,Turner,Smith,Acuña
Jenifer Langosch,MLB.com,STL,Freeman,Betts,Machado,Tatis,Bauer,Yastrzemski,Ozuna,Soto,Turner,Acuña
Rick Hummel,St. Louis Post-Dispatch,STL,Freeman,Betts,Machado,Tatis,Ozuna,Seager,Bauer,Soto,Darvish,Tepera
Todd Dybas,NBC Sports Washington,WAS,Freeman,Betts,Soto,Machado,Ozuna,Tatis,Yastrzemski,Story,Turner,Bauer
Mark Zuckerman,MASNsports.com,WAS,Freeman,Soto,Machado,Tatis,Betts,Ozuna,Turner,Yastrzemski,Smith,Bauer
