Name,Affiliation,Chapter,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
Mark Bowman,MLB.com,ATL,Bryant,Stanton,Votto,Arenado,Goldschmidt,Rendon,Pham,Seager,Blackmon,Turner
Charles Odum,The Associated Press,ATL,Goldschmidt,Arenado,Stanton,Votto,Blackmon,Rendon,Bryant,Harper,Bellinger,Murphy
Nick Piecoro,The Arizona Republic,AZ,Votto,Stanton,Goldschmidt,Arenado,Scherzer,Blackmon,Bryant,Rendon,Martinez,Ozuna
Bob Nightengale,USA Today,AZ,Goldschmidt,Blackmon,Stanton,Arenado,Votto,Rendon,Bellinger,Martinez,Rizzo,Zimmerman
Mark Gonzales,Chicago Tribune,CHI,Goldschmidt,Votto,Blackmon,Stanton,Arenado,Rendon,Rizzo,Bellinger,Ozuna,Bryant
Jesse Rogers,ESPN.com,CHI,Votto,Stanton,Goldschmidt,Rendon,Rizzo,Bryant,Arenado,Blackmon,Bellinger,Martinez
C. Trent Rosecrans,Cincinnati Enquirer,CIN,Votto,Stanton,Blackmon,Goldschmidt,Arenado,Bryant,Rendon,Scherzer,Turner,Pham
Mark Sheldon,MLB.com,CIN,Votto,Goldschmidt,Stanton,Arenado,Rendon,Blackmon,Turner,Pham,Bryant,Ozuna
Tracy Ringolsby,MLB.com,COL,Blackmon,Goldschmidt,Arenado,Votto,Bryant,Stanton,Kershaw,Rendon,Scherzer,Rizzo
Patrick Saunders,The Denver Post,COL,Blackmon,Votto,Arenado,Stanton,Goldschmidt,Rendon,Bryant,Turner,Scherzer,Pham
Ken Gurnick,MLB.com,LA,Arenado,Blackmon,Stanton,Votto,Goldschmidt,Jansen,Bryant,Scherzer,Bellinger,Turner
J.P. Hoornstra,Southern California News Group,LA,Stanton,Votto,Bryant,Arenado,Goldschmidt,Rendon,Blackmon,Pham,Scherzer,Turner
Craig Davis,South Florida Sun Sentinel,MIA,Stanton,Arenado,Votto,Goldschmidt,Blackmon,Bryant,Bellinger,Rendon,Ozuna,Harper
Joe Frisaro,MLB.com,MIA,Stanton,Blackmon,Votto,Goldschmidt,Rendon,Arenado,Bryant,Seager,Murphy,Ozuna
Todd Rosiak,Milwaukee Journal Sentinel,MIL,Stanton,Votto,Arenado,Goldschmidt,Rendon,Blackmon,Scherzer,Bryant,Kershaw,Greinke
Adam McCalvy,MLB.com,MIL,Votto,Stanton,Arenado,Goldschmidt,Bryant,Rendon,Blackmon,Turner,Pham,Ozuna
Marc Carig,Newsday,NY,Votto,Stanton,Blackmon,Arenado,Rendon,Bryant,Scherzer,Goldschmidt,Turner,Pham
Anthony DiComo,MLB.com,NY,Stanton,Votto,Blackmon,Arenado,Bryant,Goldschmidt,Rendon,Turner,Pham,Scherzer
Todd Zolecki,MLB.com,PHI,Votto,Stanton,Blackmon,Goldschmidt,Arenado,Bryant,Rendon,Harper,Bellinger,Turner
Jim Salisbury,NBC Sports Philadelphia,PHI,Arenado,Goldschmidt,Votto,Stanton,Blackmon,Bryant,Rendon,Turner,Bellinger,Harper
Stephen J. Nesbitt,Pittsburgh Post-Gazette,PIT,Votto,Stanton,Arenado,Goldschmidt,Rendon,Bryant,Blackmon,Turner,Scherzer,Pham
Rob Biertempfel,Pittsburgh Tribune-Review,PIT,Stanton,Votto,Goldschmidt,Arenado,Blackmon,Rendon,Turner,Harper,Rizzo,Bryant
Scott Miller,Bleacher Report,SD,Goldschmidt,Arenado,Stanton,Blackmon,Votto,Bryant,Turner,Rendon,Martinez,Bellinger
Dennis Lin,San Diego Union-Tribune,SD,Votto,Stanton,Arenado,Goldschmidt,Blackmon,Rendon,Bellinger,Bryant,Turner,Martinez
Andrew Baggarly,San Jose Mercury News,SF,Stanton,Votto,Goldschmidt,Arenado,Bryant,Bellinger,Rendon,Blackmon,Turner,Bradley
Henry Schulman,San Francisco Chronicle,SF,Stanton,Votto,Arenado,Goldschmidt,Rendon,Bellinger,Blackmon,Bryant,Turner,Pham
Derrick Goold,St. Louis Post-Dispatch,STL,Stanton,Votto,Blackmon,Arenado,Goldschmidt,Rendon,Bryant,Scherzer,Pham,Turner
Rick Hummel,St. Louis Post-Dispatch,STL,Blackmon,Goldschmidt,Arenado,Votto,Stanton,Harper,Rendon,Jansen,Martinez,Rizzo
Todd Dybas,The Washington Times,WAS,Votto,Stanton,Rendon,Arenado,Bryant,Goldschmidt,Blackmon,Pham,Scherzer,Turner
Tim Kurkjian,ESPN,WAS,Stanton,Goldschmiidt,Blackmon,Votto,Arenado,Harper,Rendon,Bryant,Bellinger,Rizzo
