PlayerA,PlayerB,A>B,B>A
Arenado,Arrieta,13,16
Arenado,Bryant,18,6
Arenado,Carpenter,18,4
Arenado,Cespedes,20,1
Arenado,Cole,19,1
Arenado,Goldschmidt,4,26
Arenado,Gonzalez,20,1
Arenado,Gordon,20,0
Arenado,Granderson,20,1
Arenado,Greinke,11,17
Arenado,Harper,0,30
Arenado,Heyward,18,5
Arenado,Kershaw,19,8
Arenado,McCutchen,12,18
Arenado,Pollock,20,5
Arenado,Posey,15,15
Arenado,Rizzo,6,24
Arenado,Rosenthal,20,0
Arenado,Votto,9,20
Arrieta,Bryant,23,5
Arrieta,Carpenter,24,3
Arrieta,Cespedes,24,3
Arrieta,Cole,25,0
Arrieta,Goldschmidt,7,23
Arrieta,Gonzalez,25,2
Arrieta,Gordon,25,1
Arrieta,Granderson,25,1
Arrieta,Greinke,17,10
Arrieta,Harper,0,30
Arrieta,Heyward,24,2
Arrieta,Kershaw,24,1
Arrieta,McCutchen,12,18
Arrieta,Pollock,24,3
Arrieta,Posey,17,13
Arrieta,Rizzo,12,18
Arrieta,Rosenthal,24,1
Arrieta,Votto,11,19
Bryant,Carpenter,8,11
Bryant,Cespedes,8,7
Bryant,Cole,8,1
Bryant,Goldschmidt,2,28
Bryant,Gonzalez,8,1
Bryant,Gordon,8,3
Bryant,Granderson,7,1
Bryant,Greinke,5,22
Bryant,Harper,0,30
Bryant,Heyward,7,4
Bryant,Kershaw,7,9
Bryant,McCutchen,4,24
Bryant,Pollock,7,9
Bryant,Posey,3,22
Bryant,Rizzo,3,25
Bryant,Rosenthal,8,1
Bryant,Votto,2,27
Carpenter,Cespedes,10,5
Carpenter,Cole,12,0
Carpenter,Goldschmidt,0,30
Carpenter,Gonzalez,11,1
Carpenter,Gordon,12,2
Carpenter,Granderson,11,1
Carpenter,Greinke,4,23
Carpenter,Harper,0,30
Carpenter,Heyward,12,5
Carpenter,Kershaw,11,12
Carpenter,McCutchen,1,27
Carpenter,Pollock,12,11
Carpenter,Posey,7,22
Carpenter,Rizzo,1,27
Carpenter,Rosenthal,11,1
Carpenter,Votto,1,27
Cespedes,Cole,7,1
